time_s,step_id,self_bias_V,plasma_potential_V,total_absorbed_power_W,electron_density_m3,mean_electron_energy_eV,port_dc_series_drive_absorbed_power_W,port_dc_series_drive_source_voltage_V,port_dc_series_drive_gap_voltage_V,port_dc_series_drive_current_A,port_dc_series_drive_delivered_power_W,port_dc_series_drive_ballast_resistance_ohm,port_dc_series_drive_plasma_resistance_ohm,port_dc_series_drive_plasma_conductance_S,port_dc_series_drive_conductance_multiplier,port_dc_series_drive_electron_mobility_m2_V_s,port_dc_series_drive_electric_field_V_m,port_dc_series_drive_reduced_field_Td,port_dc_series_drive_gap_m,port_dc_series_drive_electrode_area_m2,port_dc_series_drive_waveform_multiplier,ne_plasma_m3,mean_energy_plasma_eV,pabs_plasma_W,Tg_plasma_K,pressure_plasma_Pa,total_density_plasma_m3,electronegativity_plasma,residence_time_plasma_s,debye_length_plasma_m,EoverN_plasma_Td,ion_loss_family_plasma,ion_loss_area_plasma_m2,ion_loss_h_factor_plasma,ion_loss_characteristic_length_plasma_m,ambipolar_loss_rate_plasma_s,warning_high_electronegativity_plasma,warning_ion_ion_afterglow_plasma,warning_pressure_deviation_plasma,warning_debye_ratio_plasma,film_wall_m
5.0251256281407036e-05,dc_series_circuit,0.0,1.6718676374019932,0.32319296189243013,3.190548490581652e+17,3.9271427713778766,0.32319296189243013,1000.0,33.437352748039864,0.009665626472519602,0.32319296189243013,100000.0,3459.4087453209363,0.0002890667375899311,1.0,0.45,8359.338187009966,2.5970090768607865,0.004,5.0265482457e-05,1.0,3.190548490581652e+17,3.9271427713778766,0.32319296189243013,300.0,13332.235160118924,3.2188328725884046e+24,0.0,inf,2.6081035993858596e-05,2.5970090768607865,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
5.527638190954774e-05,dc_series_circuit,0.0,1.6683659584160304,0.32253941179840034,3.197476689553058e+17,3.923551994163387,0.32253941179840034,1000.0,33.367319168320606,0.009666326808316795,0.32253941179840034,100000.0,3451.9129996320585,0.0002896944390274583,1.0,0.45,8341.82979208015,2.5915697244524596,0.004,5.0265482457e-05,1.0,3.197476689553058e+17,3.923551994163387,0.32253941179840034,300.0,13332.235114421608,3.2188328615555935e+24,0.0,inf,2.6040851480824493e-05,2.5915697244524596,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
6.030150753768845e-05,dc_series_circuit,0.0,1.6657109982223042,0.32204382712606583,3.202749040049803e+17,3.92054761557018,0.32204382712606583,1000.0,33.31421996444608,0.00966685780035554,0.32204382712606583,100000.0,3446.2304765899016,0.00029017211901321107,1.0,0.45,8328.55499111152,2.587445629361978,0.004,5.0265482457e-05,1.0,3.202749040049803e+17,3.920547615570181,0.32204382712606583,300.0,13332.23506933193,3.218832850669487e+24,0.0,inf,2.600944466930905e-05,2.587445629361978,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
6.532663316582915e-05,dc_series_circuit,0.0,1.6637007523718024,0.32166854970059044,3.20675227925141e+17,3.9182506814110183,0.32166854970059044,1000.0,33.274015047436045,0.00966725984952564,0.32166854970059044,100000.0,3441.928278059967,0.00029053481630466954,1.0,0.45,8318.50376185901,2.5843230063870744,0.004,5.0265482457e-05,1.0,3.20675227925141e+17,3.9182506814110183,0.32166854970059044,300.0,13332.23502471118,3.218832839896594e+24,0.0,inf,2.5985589344529734e-05,2.5843230063870744,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
7.035175879396985e-05,dc_series_circuit,0.0,1.6621736653197712,0.32138344788922396,3.209799819270856e+17,3.916504123553018,0.32138344788922396,1000.0,33.24347330639542,0.009667565266936046,0.32138344788922396,100000.0,3438.660343994897,0.0002908109263383194,1.0,0.45,8310.868326598855,2.5819509019490487,0.004,5.0265482457e-05,1.0,3.209799819270856e+17,3.916504123553018,0.32138344788922396,300.0,13332.234980442881,3.2188328292087947e+24,0.0,inf,2.5967460998507763e-05,2.5819509019490487,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
7.537688442211056e-05,dc_series_circuit,0.0,1.6610111980564228,0.3211664068110092,3.2121234601409434e+17,3.915174026584844,0.3211664068110092,1000.0,33.220223961128454,0.009667797760388716,0.3211664068110092,100000.0,3436.172826994755,0.00029102145041831054,1.0,0.45,8305.055990282113,2.580145182542294,0.004,5.0265482457e-05,1.0,3.2121234601409434e+17,3.915174026584844,0.3211664068110092,300.0,13332.234936441278,3.218832818585385e+24,0.0,inf,2.5953658679049123e-05,2.580145182542294,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
8.040201005025126e-05,dc_series_circuit,0.0,1.6601251391770182,0.32100096592449356,3.213896777349061e+17,3.9141599921705845,0.32100096592449356,1000.0,33.20250278354036,0.009667974972164596,0.32100096592449356,100000.0,3434.2768655416303,0.0002911821146494218,1.0,0.45,8300.62569588509,2.5787688242852647,0.004,5.0265482457e-05,1.0,3.213896777349061e+17,3.9141599921705845,0.32100096592449356,300.0,13332.234892642298,3.218832808010894e+24,0.0,inf,2.5943137221577436e-05,2.5787688242852647,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
8.542713567839196e-05,dc_series_circuit,0.0,1.659449196948077,0.3208747528406089,3.215250850182205e+17,3.9133863320324522,0.3208747528406089,1000.0,33.188983938961535,0.009668110160610385,0.3208747528406089,100000.0,3432.8305519499986,0.00029130479494012776,1.0,0.45,8297.245984740384,2.577718852390403,0.004,5.0265482457e-05,1.0,3.215250850182205e+17,3.9133863320324522,0.3208747528406089,300.0,13332.23484899762,3.2188327974736566e+24,0.0,inf,2.5935110286646103e-05,2.577718852390403,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
9.045226130653267e-05,dc_series_circuit,0.0,1.6589332688606484,0.32077841540999896,3.2162851192267936e+17,3.912795779533479,0.32077841540999896,1000.0,33.178665377212965,0.009668213346227871,0.32077841540999896,100000.0,3431.726647835909,0.0002913985007024417,1.0,0.45,8294.666344303241,2.5769174397296433,0.004,5.0265482457e-05,1.0,3.2162851192267936e+17,3.912795779533479,0.32077841540999896,300.0,13332.234805470618,3.21883278696483e+24,0.0,inf,2.5928983303638888e-05,2.5769174397296433,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
9.547738693467337e-05,dc_series_circuit,0.0,1.65853933152602,0.3207048554483289,3.217075269479157e+17,3.912344845376169,0.3207048554483289,1000.0,33.170786630520396,0.009668292133694797,0.3207048554483289,100000.0,3430.883776765233,0.00029147008906924785,1.0,0.45,8292.696657630098,2.576305522371576,0.004,5.0265482457e-05,1.0,3.217075269479157e+17,3.912344845376169,0.3207048554483289,300.0,13332.234762033431,3.218832776477688e+24,0.0,inf,2.5924304915918582e-05,2.576305522371576,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.00010050251256281407,dc_series_circuit,0.0,1.6582384728667592,0.32064867524176993,3.217678977556435e+17,3.9120004510510666,0.32064867524176993,1000.0,33.16476945733518,0.009668352305426649,0.32064867524176993,100000.0,3430.24006672993,0.0002915247855970928,1.0,0.45,8291.192364333796,2.5758381895120466,0.004,5.0265482457e-05,1.0,3.217678977556435e+17,3.9120004510510675,0.32064867524176993,300.0,13332.234718664835,3.218832766007106e+24,0.0,inf,2.5920731868768608e-05,2.5758381895120466,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.00010552763819095478,dc_series_circuit,0.0,1.658008662223422,0.32060576154865283,3.2181402670776205e+17,3.9117373834148994,0.32060576154865283,1000.0,33.16017324446844,0.009668398267555316,0.32060576154865283,100000.0,3429.7483747380925,0.0002915665788678633,1.0,0.45,8290.04331111711,2.575481219651851,0.004,5.0265482457e-05,1.0,3.2181402670776205e+17,3.9117373834148994,0.32060576154865283,300.0,13332.234675348629,3.2188327555491725e+24,0.0,inf,2.591800256901436e-05,2.575481219651851,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
