time_s,step_id,self_bias_V,plasma_potential_V,total_absorbed_power_W,electron_density_m3,mean_electron_energy_eV,port_dc_series_drive_absorbed_power_W,port_dc_series_drive_source_voltage_V,port_dc_series_drive_gap_voltage_V,port_dc_series_drive_current_A,port_dc_series_drive_delivered_power_W,port_dc_series_drive_ballast_resistance_ohm,port_dc_series_drive_plasma_resistance_ohm,port_dc_series_drive_plasma_conductance_S,port_dc_series_drive_conductance_multiplier,port_dc_series_drive_electron_mobility_m2_V_s,port_dc_series_drive_electric_field_V_m,port_dc_series_drive_reduced_field_Td,port_dc_series_drive_gap_m,port_dc_series_drive_electrode_area_m2,port_dc_series_drive_waveform_multiplier,ne_plasma_m3,mean_energy_plasma_eV,pabs_plasma_W,Tg_plasma_K,pressure_plasma_Pa,total_density_plasma_m3,electronegativity_plasma,residence_time_plasma_s,debye_length_plasma_m,EoverN_plasma_Td,ion_loss_family_plasma,ion_loss_area_plasma_m2,ion_loss_h_factor_plasma,ion_loss_characteristic_length_plasma_m,ambipolar_loss_rate_plasma_s,warning_high_electronegativity_plasma,warning_ion_ion_afterglow_plasma,warning_pressure_deviation_plasma,warning_debye_ratio_plasma,film_wall_m
0.0001457286432160804,dc_series_circuit,0.0,2.751904244767668,0.24489851658728554,8.92332591466102e+16,0.8683054684723733,0.24489851658728554,500.0,55.03808489535336,0.004449619151046466,0.24489851658728554,100000.0,12369.16756851189,8.084618422873449e-05,1.0,0.45,13759.52122383834,4.274692339664617,0.004,5.0265482457e-05,1.0,8.92332591466102e+16,0.8683054684723734,0.24489851658728554,300.0,13332.236129766696,3.218833106692745e+24,0.0,inf,2.3189535975311277e-05,4.274692339664617,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.00015075376884422112,dc_series_circuit,0.0,2.751904223454192,0.24489851492515913,8.923325992320574e+16,0.8683054644277689,0.24489851492515913,500.0,55.03808446908384,0.0044496191553091615,0.24489851492515913,100000.0,12369.167460863237,8.084618493233745e-05,1.0,0.45,13759.52111727096,4.274692310393719,0.004,5.0265482457e-05,1.0,8.923325992320574e+16,0.8683054644277689,0.24489851492515913,300.0,13332.236117800945,3.218833103803826e+24,0.0,inf,2.3189535820393274e-05,4.274692310393719,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.00015577889447236182,dc_series_circuit,0.0,2.7519042099924027,0.24489851387534464,8.923326041371072e+16,0.8683054620713714,0.24489851387534464,500.0,55.03808419984805,0.00444961915800152,0.24489851387534464,100000.0,12369.167392871344,8.084618537673964e-05,1.0,0.45,13759.521049962012,4.274692293319299,0.004,5.0265482457e-05,1.0,8.923326041371072e+16,0.8683054620713715,0.24489851387534464,300.0,13332.236105835196,3.218833100914907e+24,0.0,inf,2.3189535725192423e-05,4.274692293319299,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.00016080402010050252,dc_series_circuit,0.0,2.751904201193427,0.24489851318915853,8.92332607343175e+16,0.8683054607175349,0.24489851318915853,500.0,55.038084023868535,0.0044496191597613146,0.24489851318915853,100000.0,12369.167348430079,8.084618566721244e-05,1.0,0.45,13759.521005967134,4.274692283487899,0.004,5.0265482457e-05,1.0,8.923326073431752e+16,0.8683054607175349,0.24489851318915853,300.0,13332.236093869444,3.218833098025987e+24,0.0,inf,2.3189535665455275e-05,4.274692283487899,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.00016582914572864322,dc_series_circuit,0.0,2.7519041951598795,0.24489851271863375,8.923326095416086e+16,0.8683054599582984,0.24489851271863375,500.0,55.03808390319759,0.004449619160968024,0.24489851271863375,100000.0,12369.16731795625,8.084618586639262e-05,1.0,0.45,13759.520975799396,4.274692277952199,0.004,5.0265482457e-05,1.0,8.923326095416086e+16,0.8683054599582984,0.24489851271863375,300.0,13332.236081903693,3.218833095137068e+24,0.0,inf,2.3189535626750995e-05,4.274692277952199,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.00017085427135678393,dc_series_circuit,0.0,2.7519041907676343,0.24489851237610555,8.923326111420035e+16,0.8683054595519616,0.24489851237610555,500.0,55.038083815352685,0.004449619161846473,0.24489851237610555,100000.0,12369.167295772197,8.084618601138993e-05,1.0,0.45,13759.520953838171,4.2746922749660285,0.004,5.0265482457e-05,1.0,8.923326111420035e+16,0.8683054595519616,0.24489851237610555,300.0,13332.236069937942,3.218833092248148e+24,0.0,inf,2.3189535600529878e-05,4.2746922749660285,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.00017587939698492463,dc_series_circuit,0.0,2.751904187349915,0.24489851210957553,8.923326123873125e+16,0.8683054593551591,0.24489851210957553,500.0,55.038083746998296,0.004449619162530017,0.24489851210957553,100000.0,12369.167278510211,8.08461861242161e-05,1.0,0.45,13759.520936749574,4.274692273493645,0.004,5.0265482457e-05,1.0,8.923326123873125e+16,0.8683054593551591,0.24489851210957553,300.0,13332.236057972192,3.218833089359229e+24,0.0,inf,2.3189535581720647e-05,4.274692273493645,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.00018090452261306533,dc_series_circuit,0.0,2.7519041845108148,0.24489851188816888,8.923326134217907e+16,0.8683054592827665,0.24489851188816888,500.0,55.03808369021629,0.004449619163097837,0.24489851188816888,100000.0,12369.167264170677,8.084618621794081e-05,1.0,0.45,13759.520922554073,4.2746922729200625,0.004,5.0265482457e-05,1.0,8.923326134217907e+16,0.8683054592827666,0.24489851188816888,300.0,13332.236046006446,3.218833086470311e+24,0.0,inf,2.318953556731219e-05,4.2746922729200625,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.00018592964824120604,dc_series_circuit,0.0,2.7519041820152674,0.24489851169355428,8.923326143310891e+16,0.8683054592842421,0.24489851169355428,500.0,55.038083640305345,0.004449619163596947,0.24489851169355428,100000.0,12369.167251566336,8.084618630032412e-05,1.0,0.45,13759.520910076337,4.2746922728801415,0.004,5.0265482457e-05,1.0,8.923326143310891e+16,0.8683054592842421,0.24489851169355428,300.0,13332.236034040698,3.2188330835813923e+24,0.0,inf,2.3189535555516673e-05,4.2746922728801415,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.00019095477386934674,dc_series_circuit,0.0,2.7519041797236987,0.24489851151484682,8.923326151660638e+16,0.8683054593295757,0.24489851151484682,500.0,55.038083594473974,0.00444961916405526,0.24489851151484682,100000.0,12369.167239992239,8.084618637597363e-05,1.0,0.45,13759.520898618493,4.274692273157074,0.004,5.0265482457e-05,1.0,8.923326151660638e+16,0.8683054593295757,0.24489851151484682,300.0,13332.236022074949,3.218833080692473e+24,0.0,inf,2.3189535545272555e-05,4.274692273157074,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
