variant_id,category,powered_density_ratio_min,powered_density_ratio_max,powered_density_ratio_mean,powered_energy_ratio_mean,production_density_ratio,production_energy_ratio
baseline,baseline,0.29215157353317894,0.6018620300118023,0.44700680177249064,1.5588419006922571,0.6018620300118023,1.4603442882250368
ionization_rate_x0p5,rate,0.1917408064104561,0.3863170798605278,0.289028943135492,1.6693305568190075,0.3863170798605278,1.5599439253608005
ionization_rate_x2,rate,0.4436840498207561,0.9351950664815131,0.6894395581511346,1.465202269320641,0.9351950664815131,1.3751439117079862
excitation_rate_x0p5,rate,0.5628765950756383,1.1756930739092644,0.8692848344924513,1.5601260100506564,1.1756930739092644,1.468386925304046
excitation_rate_x2,rate,0.14897253515008496,0.30454239822179474,0.22675746668593985,1.5651642308625606,0.30454239822179474,1.4675026111456768
energy_loss_x0p5,energy_loss,0.5765951064807229,1.1895737206284458,0.8830844135545843,1.5645047410255084,1.1895737206284458,1.468284446670822
energy_loss_x1p5,energy_loss,0.19559941586605106,0.4028568761296842,0.2992281459978676,1.565000452757721,0.4028568761296842,1.4683152717398822
arplus_sticking_x0p5,surface,0.3054152584428794,0.7685533829642449,0.5369843207035622,1.5217765163618229,0.7685533829642449,1.401911571513483
wall_area_x1p5,geometry,0.2669111094060811,0.41161453101997825,0.33926282021302967,1.6171170846569476,0.41161453101997825,1.5496870425510347
wall_area_x2,geometry,0.24533189027948754,0.32387594185478386,0.2846039160671357,1.6466578676148034,0.32387594185478386,1.6056310584885098
power_x0p75,power,0.21902281478951205,0.4513848286983985,0.3352038217439553,1.5571037814353104,0.4513848286983985,1.4622646195152649
power_x1p25,power,0.3651686699840041,0.7523329431709922,0.5587508065774982,1.5642849269285932,0.7523329431709922,1.4683173986457472
