t,Ar,Ar+,e,T_e,T_n,p,P
6.959590730504922e-05,1.691776173611849e+21,1.2560061750057342e+16,1.2560061750057342e+16,2.0024263913506384,342.5,8.000000000000195,500.0
8.490233283181318e-05,1.6917746004814885e+21,1.413319210944781e+16,1.413319210944781e+16,1.9631987065979626,342.5,8.000000000000188,500.0
0.00010020875835857715,1.6917731629662124e+21,1.557070738667641e+16,1.557070738667641e+16,1.93211323049513,342.5,8.000000000000195,500.0
0.00011551518388534111,1.691771834158216e+21,1.6899515384975576e+16,1.6899515384975576e+16,1.9064515606844221,342.5,8.000000000000204,500.0
0.00013082160941210508,1.6917705966084033e+21,1.8137065198059604e+16,1.8137065198059604e+16,1.8848274627515675,342.5,8.000000000000206,500.0
0.0001586373244976499,1.691768546348424e+21,2.0187325178829944e+16,2.0187325178829944e+16,1.8530571317709386,342.5,8.000000000000213,500.0
0.00018645303958319474,1.691766704202242e+21,2.2029471368094332e+16,2.2029471368094332e+16,1.8279689412879698,342.5,8.000000000000247,500.0
0.00019547170388611783,1.6917661436618416e+21,2.2590011769765824e+16,2.2590011769765824e+16,1.8208454781108667,342.5,8.000000000000254,500.0
0.00019796844698234447,1.6917659914752381e+21,2.2742198373076576e+16,2.2742198373076576e+16,1.818832497828107,342.5,8.000000000000252,500.0
0.0001992168185304578,1.6917659158503065e+21,2.281782330450225e+16,2.281782330450225e+16,1.8178602128331705,342.5,8.00000000000025,500.0
0.00019984100430451445,1.6917658781561187e+21,2.285551749244398e+16,2.285551749244398e+16,1.8173975569689083,342.5,8.000000000000252,500.0
0.00019992993910323146,1.6917658727918016e+21,2.2860881809739212e+16,2.2860881809739212e+16,1.817331726074717,342.5,8.000000000000252,500.0
0.00019997334638488214,1.6917658701741585e+21,2.286349945248077e+16,2.286349945248077e+16,1.8172994658769828,342.5,8.00000000000025,500.0
0.00019999696491221342,1.6917658686177076e+21,2.286505590329249e+16,2.286505590329249e+16,1.8390410617650284,342.5,8.00000000000025,941.6329271809337
0.0002000205834395447,1.6917658665355984e+21,2.286713801223764e+16,2.286713801223764e+16,1.8968659313039142,342.5,8.000000000000249,1395.8353758593084
0.00020004420196687597,1.691765863360577e+21,2.2870313033912348e+16,2.2870313033912348e+16,1.971705467149702,342.5,8.000000000000249,1500.0
0.00020006782049420725,1.691765858661361e+21,2.2875012249605024e+16,2.2875012249605024e+16,2.0380314588739177,342.5,8.000000000000249,1500.0
0.00020009712386798368,1.6917658506748992e+21,2.2882998711552572e+16,2.2882998711552572e+16,2.0962954120582933,342.5,8.000000000000249,1500.0
0.0002001264272417601,1.6917658407200455e+21,2.289295356556268e+16,2.289295356556268e+16,2.1303826000118833,342.5,8.000000000000252,1500.0
0.00020015573061553653,1.6917658294334246e+21,2.2904240186272628e+16,2.2904240186272628e+16,2.150087315766473,342.5,8.00000000000025,1500.0
0.00020018503398931296,1.691765817348394e+21,2.2916325216688012e+16,2.2916325216688012e+16,2.1626985483965138,342.5,8.000000000000249,1500.0
0.00020023190256199683,1.691765796963392e+21,2.293671021898617e+16,2.293671021898617e+16,2.17365553825663,342.5,8.00000000000025,1500.0
0.0002002787711346807,1.6917657759194124e+21,2.2957754198104396e+16,2.2957754198104396e+16,2.1793998994478727,342.5,8.000000000000249,1500.0
0.00020032563970736459,1.6917657545456151e+21,2.2979127995496044e+16,2.2979127995496044e+16,2.182232306606089,342.5,8.000000000000249,1500.0
0.00020037250828004846,1.6917657330108877e+21,2.3000662723225252e+16,2.3000662723225252e+16,2.1833262798156268,342.5,8.00000000000025,1500.0
0.0002004751033268139,1.6917656856989807e+21,2.304797463040466e+16,2.304797463040466e+16,2.183631789868514,342.5,8.000000000000252,1500.0
0.00020057769837357936,1.6917656383242853e+21,2.309534932535062e+16,2.309534932535062e+16,2.182708560463032,342.5,8.000000000000249,1500.0
0.0002006802934203448,1.6917655910115222e+21,2.3142662088897556e+16,2.3142662088897556e+16,2.181752804628791,342.5,8.000000000000252,1500.0
0.0002017062438879993,1.691765123599572e+21,2.3610074038704196e+16,2.3610074038704196e+16,2.1738082999732717,342.5,8.000000000000249,1500.0
0.0002027321943556538,1.6917646621348955e+21,2.4071538715127904e+16,2.4071538715127904e+16,2.166178712610007,342.5,8.000000000000249,1500.0
0.000206038813135479,1.6917632260920118e+21,2.550758159892842e+16,2.550758159892842e+16,2.1435916850613626,342.5,8.000000000000249,1500.0
0.00020934543191530422,1.6917618411057054e+21,2.689256790532518e+16,2.689256790532518e+16,2.1233718535424826,342.5,8.000000000000249,1500.0
0.00022504106002216984,1.6917557608795522e+21,3.2972794058604372e+16,3.2972794058604372e+16,2.0486981872092476,342.5,8.000000000000249,1500.0
0.00024073668812903546,1.6917504060469593e+21,3.832762671347478e+16,3.832762671347478e+16,1.996462102176361,342.5,8.000000000000544,1500.0
0.0002564323162359011,1.6917455992970493e+21,4.313437669191674e+16,4.313437669191674e+16,1.95740750634178,342.5,8.000000000000867,1500.0
0.0002785955551851795,1.691739544831983e+21,4.918884172860322e+16,4.918884172860322e+16,1.9161211689672222,342.5,8.000000000000727,1500.0
0.0003007587941344579,1.6917341351846583e+21,5.459848886304729e+16,5.459848886304729e+16,1.8844025291429016,342.5,7.999999999999827,1500.0
0.0003229220330837363,1.691729208843105e+21,5.952483026756189e+16,5.952483026756189e+16,1.8581896068785009,342.5,7.9999999999991225,1500.0
0.0003450852720330147,1.6917246647725552e+21,6.406890085458981e+16,6.406890085458981e+16,1.836301891519348,342.5,7.9999999999993,1500.0
0.00038158675754689246,1.691717916479517e+21,7.081719407978091e+16,7.081719407978091e+16,1.8082019751984983,342.5,8.000000000000185,1500.0
0.00041808824306077024,1.6917119620556642e+21,7.677161777002358e+16,7.677161777002358e+16,1.7869755093798856,342.5,7.999999999999416,1500.0
0.000454589728574648,1.6917066180715e+21,8.211560172966286e+16,8.211560172966286e+16,1.7679537557790195,342.5,7.9999999999984475,1500.0
0.0004910912140885258,1.6917017697337074e+21,8.696393945399509e+16,8.696393945399509e+16,1.7527246888755554,342.5,7.999999999998125,1500.0
0.0005413964074847045,1.6916957941538478e+21,9.293951928215734e+16,9.293951928215734e+16,1.7354932468757063,342.5,7.999999999997976,1500.0
0.0005917016008808832,1.6916905127916583e+21,9.822088147729627e+16,9.822088147729627e+16,1.7213362366475977,342.5,7.999999999998003,1500.0
0.0006420067942770619,1.6916858209480755e+21,1.0291272508287266e+17,1.0291272508287266e+17,1.7095388052560914,342.5,7.999999999998111,1500.0
0.0006923119876732405,1.6916816348960326e+21,1.0709877714956182e+17,1.0709877714956182e+17,1.6996218911463126,342.5,7.999999999998223,1500.0
0.0008059827885525094,1.691673727329047e+21,1.1500634415434213e+17,1.1500634415434213e+17,1.6821769521406305,342.5,7.999999999998313,1500.0
0.0009196535894317783,1.6916674819995552e+21,1.2125167361596299e+17,1.2125167361596299e+17,1.669439008220313,342.5,7.99999999999817,1500.0
0.0010333243903110473,1.6916624842795086e+21,1.2624939366819381e+17,1.2624939366819381e+17,1.6597885365465948,342.5,7.999999999998198,1500.0
0.0011469951911903162,1.6916584585858135e+21,1.3027508742755568e+17,1.3027508742755568e+17,1.6523782133881761,342.5,7.999999999998502,1500.0
0.0013188069170587166,1.691653811787849e+21,1.3492188550243152e+17,1.3492188550243152e+17,1.6442079952016229,342.5,7.999999999999024,1500.0
0.001490618642927117,1.6916504253937783e+21,1.3830827965522914e+17,1.3830827965522914e+17,1.6384716935167356,342.5,7.999999999999412,1500.0
0.0016624303687955172,1.6916479338974557e+21,1.4079977608478805e+17,1.4079977608478805e+17,1.6343299828658517,342.5,7.999999999999917,1500.0
0.0018342420946639176,1.6916460933321846e+21,1.4264034149219448e+17,1.4264034149219448e+17,1.6313465544232784,342.5,8.000000000000561,1500.0
0.0021112014546166864,1.691644108299496e+21,1.4462537441072698e+17,1.4462537441072698e+17,1.6281951808061281,342.5,8.00000000000165,1500.0
0.0021804412946048787,1.6916437366707732e+21,1.4499700314901213e+17,1.4499700314901213e+17,1.627642076889158,342.5,8.000000000001723,1500.0
0.0021977512546019267,1.6916436515846658e+21,1.45082089250935e+17,1.45082089250935e+17,1.6275086445070128,342.5,8.000000000001698,1500.0
0.0021999149996015576,1.6916436411692165e+21,1.4509250469977213e+17,1.4509250469977213e+17,1.6274920922178495,342.5,8.000000000001695,1500.0
0.002199987653258904,1.6916436411786582e+21,1.4509249525759914e+17,1.4509249525759914e+17,1.6186579102231609,342.5,8.000000000001693,1106.1559931539232
0.0022000603069162504,1.6916436428495787e+21,1.4509082433722317e+17,1.4509082433722317e+17,1.5797186668746768,342.5,8.000000000001693,0.0
0.002200109467814435,1.691643645541126e+21,1.45088132789857e+17,1.45088132789857e+17,1.5419244681575572,342.5,8.000000000001693,0.0
0.00220015862871262,1.6916436494738092e+21,1.4508420010623946e+17,1.4508420010623946e+17,1.5070941355589904,342.5,8.000000000001691,0.0
0.0022002077896108047,1.6916436543152228e+21,1.4507935869294934e+17,1.4507935869294934e+17,1.4783632251428065,342.5,8.000000000001693,0.0
0.0022002569505089895,1.6916436597220555e+21,1.4507395186027766e+17,1.4507395186027766e+17,1.4544402262057494,342.5,8.000000000001693,0.0
0.0022003474375243523,1.6916436704374098e+21,1.450632365056638e+17,1.450632365056638e+17,1.416663990319452,342.5,8.000000000001691,0.0
0.002200437924539715,1.6916436819247256e+21,1.4505174919025517e+17,1.4505174919025517e+17,1.3856500791805066,342.5,8.000000000001693,0.0
0.002200528411555078,1.6916436938884228e+21,1.45039785493218e+17,1.45039785493218e+17,1.3594848770840695,342.5,8.000000000001693,0.0
0.00220067995560047,1.6916437145792028e+21,1.4501909471289744e+17,1.4501909471289744e+17,1.323701771574232,342.5,8.000000000001693,0.0
0.002200831499645862,1.691643735647694e+21,1.4499802622177178e+17,1.4499802622177178e+17,1.2946166227533011,342.5,8.000000000001693,0.0
0.002200983043691254,1.6916437568790046e+21,1.4497679491069434e+17,1.4497679491069434e+17,1.270151678119199,342.5,8.00000000000169,0.0
0.002201134587736646,1.691643778181219e+21,1.4495549269629542e+17,1.4495549269629542e+17,1.2491452528408278,342.5,8.00000000000169,0.0
0.002201408929663429,1.691643816810259e+21,1.4491686365638896e+17,1.4491686365638896e+17,1.2173577137247855,342.5,8.00000000000169,0.0
0.002201683271590212,1.6916438554009139e+21,1.4487827300192906e+17,1.4487827300192906e+17,1.1917739998676566,342.5,8.000000000001693,0.0
0.002201957613516995,1.6916438938562118e+21,1.448398177036208e+17,1.448398177036208e+17,1.1705053446408458,342.5,8.000000000001691,0.0
0.002202390190151791,1.6916439541377052e+21,1.4477953620996224e+17,1.4477953620996224e+17,1.1432138284120212,342.5,8.00000000000169,0.0
0.0022028227667865866,1.6916440139428874e+21,1.4471973102767974e+17,1.4471973102767974e+17,1.1208704126816833,342.5,8.00000000000169,0.0
0.0022032553434213824,1.6916440732981382e+21,1.446603757769862e+17,1.446603757769862e+17,1.1019067433317111,342.5,8.00000000000169,0.0
0.002203687920056178,1.6916441322435083e+21,1.446014304063371e+17,1.446014304063371e+17,1.085507691018737,342.5,8.000000000001688,0.0
0.0022045275716893933,1.6916442456228878e+21,1.444880510267362e+17,1.444880510267362e+17,1.0587056414516707,342.5,8.000000000001686,0.0
0.0022053672233226084,1.6916443577463068e+21,1.4437592760731382e+17,1.4437592760731382e+17,1.0370601139081428,342.5,8.000000000001686,0.0
0.0022062068749558236,1.691644468761793e+21,1.4426491212094848e+17,1.4426491212094848e+17,1.0189647211879083,342.5,8.000000000001682,0.0
0.0022077838317880977,1.6916446746590805e+21,1.4405901483224859e+17,1.4405901483224859e+17,0.9917139653415412,342.5,8.000000000001677,0.0
0.0022093607886203718,1.6916448776868064e+21,1.4385598710632136e+17,1.4385598710632136e+17,0.9696379156705633,342.5,8.000000000001677,0.0
0.002210937745452646,1.6916450782556675e+21,1.4365541824479147e+17,1.4365541824479147e+17,0.9508118330649054,342.5,8.000000000001677,0.0
0.00221251470228492,1.691645276631397e+21,1.4345704251422792e+17,1.4345704251422792e+17,0.9344257594817024,342.5,8.000000000001672,0.0
0.002215154799365141,1.691645604456533e+21,1.4312921737752965e+17,1.4312921737752965e+17,0.9108577872895246,342.5,8.000000000001668,0.0
0.002217794896445362,1.6916459273737897e+21,1.4280630012022234e+17,1.4280630012022234e+17,0.8909486962487879,342.5,8.000000000001664,0.0
0.002220434993525583,1.6916462459001653e+21,1.42487773743479e+17,1.42487773743479e+17,0.8735613206488148,342.5,8.00000000000166,0.0
0.002224705257404121,1.6916467527116144e+21,1.419809622930022e+17,1.419809622930022e+17,0.8492378665255096,342.5,8.000000000001652,0.0
0.002228975521282659,1.6916472502403927e+21,1.414834335133706e+17,1.414834335133706e+17,0.8279093763237849,342.5,8.000000000001647,0.0
0.0022332457851611974,1.6916477393011647e+21,1.4099437273975429e+17,1.4099437273975429e+17,0.8086065239459655,342.5,8.00000000000164,0.0
0.0022375160490397355,1.6916482204314003e+21,1.4051324250305597e+17,1.4051324250305597e+17,0.7908417288343211,342.5,8.000000000001634,0.0
0.0022462229894214592,1.6916491787989866e+21,1.3955487491340432e+17,1.3955487491340432e+17,0.7578582658299374,342.5,8.000000000001618,0.0
0.002254929929803183,1.6916501082885705e+21,1.386253853264306e+17,1.386253853264306e+17,0.7283202047165838,342.5,8.000000000001604,0.0
