step_id,t_start_s,t_end_s,local_final_ne_m3,pygmol_final_ne_m3,ratio_final_ne_pygmol_over_local,local_mean_ne_m3,pygmol_mean_ne_m3,ratio_mean_ne_pygmol_over_local,local_final_mean_energy_eV,pygmol_final_Te_eV,pygmol_final_mean_energy_equiv_eV,ratio_final_mean_energy_equiv_pygmol_over_local,local_mean_absorbed_power_W,pygmol_mean_absorbed_power_W,ratio_mean_absorbed_power_pygmol_over_local,local_final_wafer_ion_flux_m2_s,pygmol_final_cylinder_wall_Arplus_flux_m2_s,local_final_global_ion_loss_rate_s,pygmol_final_Arplus_wall_loss_rate_s,ratio_final_wall_loss_rate_pygmol_over_local
ignition,0.0,0.0002,7.826435992375635e+16,3.574741283172149e+17,4.56752126594352,5.5321698224471784e+16,3.644063667367527e+16,0.6587042307670086,1.664451713571195,1.0068483445268244,1.5102725167902364,0.9073693784422521,333.6391345557527,500.08522788929184,1.498880605103971,4.089398865112433e+19,1.9629113138885603e+19,21249.525354085505,907.9465058893979,0.042727848775917864
production,0.0002,0.0022,2.4107268447347296e+17,4.624801801950255e+18,19.184263086675656,2.3705756101978787e+17,1.6264587944077455e+18,6.861028972925189,1.662612635192909,0.8628703735931378,1.2943055603897067,0.7784769181905872,1094.0823474742563,1500.0,1.3710119749786887,1.2669029679693693e+20,2.3404243073618618e+20,21232.893617740116,836.7691758360165,0.03940909754932764
afterglow,0.0022,0.0026,418033350741352.1,3.7471152895903887e+18,8963.675464996151,3.885939924586786e+16,4.3946161433005174e+18,113.09017196831272,0.8839174015298619,0.2735268636517703,0.4102902954776555,0.4641726645131496,0.0,0.0,,2.4849111237958995e+17,9.047045827669185e+19,15172.370062370948,399.2215109475924,0.026312402696906472
