step_id,t_start_s,t_end_s,local_final_ne_m3,pygmol_final_ne_m3,ratio_final_ne_pygmol_over_local,local_mean_ne_m3,pygmol_mean_ne_m3,ratio_mean_ne_pygmol_over_local,local_final_mean_energy_eV,pygmol_final_Te_eV,pygmol_final_mean_energy_equiv_eV,ratio_final_mean_energy_equiv_pygmol_over_local,local_mean_absorbed_power_W,pygmol_mean_absorbed_power_W,ratio_mean_absorbed_power_pygmol_over_local,local_final_wafer_ion_flux_m2_s,pygmol_final_cylinder_wall_Arplus_flux_m2_s,local_final_global_ion_loss_rate_s,pygmol_final_Arplus_wall_loss_rate_s,ratio_final_wall_loss_rate_pygmol_over_local
ignition,0.0,0.0002,7.826435992375635e+16,2.286505590329249e+16,0.29215157353317894,5.5321698224471784e+16,4327028840082291.0,0.07821576305421897,1.664451713571195,1.8390410617650284,2.7585615926475424,1.6573395131594775,333.6391345557527,504.80035790414064,1.5130130300100813,4.089398865112433e+19,1.652488699990381e+18,21249.525354085505,1195.0069472782882,0.056236877170930885
production,0.0002,0.0022,2.4107268447347296e+17,1.4509249525759914e+17,0.6018620300118023,2.3705756101978787e+17,7.077063799970159e+16,0.29853778000269804,1.662612635192909,1.6186579102231609,2.4279868653347414,1.4603442882250368,1094.0823474742563,1489.1737254133313,1.3611166735768685,1.2669029679693693e+20,9.960273086396508e+18,21232.893617740116,1135.0905171984807,0.05345905921414831
afterglow,0.0022,0.0026,418033350741352.1,1.1573186690253064e+17,276.84840622713114,3.885939924586786e+16,1.392209782987195e+17,3.5826847815596037,0.8839174015298619,0.23538191393475108,0.35307287090212663,0.3994410227596346,0.0,0.0,,2.4849111237958995e+17,2.5091032913011164e+18,15172.370062370948,358.48400299811266,0.023627422843263635
