variant_id,variant_category,step_id,local_final_ne_m3,pygmol_final_ne_m3,ratio_final_ne_pygmol_over_local,local_final_mean_energy_eV,pygmol_final_mean_energy_equiv_eV,ratio_final_mean_energy_equiv_pygmol_over_local,local_mean_absorbed_power_W,pygmol_mean_absorbed_power_W,local_final_wafer_ion_flux_m2_s,pygmol_final_cylinder_wall_Arplus_flux_m2_s,power_scale,wall_area_scale,surface_sticking_scale,arrhenius_a_scale,electron_energy_loss_scale
excitation_rate_x0p5,rate,production,2.4107268447347296e+17,2.834274854441756e+17,1.1756930739092644,1.662612635192909,2.4413586553625732,1.468386925304046,1094.0823474742563,1499.4742641695896,1.2669029679693693e+20,1.950193653570516e+19,1.0,1.0,1.0,0.5,1.0
excitation_rate_x0p5,rate,afterglow,418033350741352.1,2.2449395596641392e+17,537.0240330545159,0.8839174015298619,0.36557619704202093,0.41358637855674174,0.0,6.283983384856995,2.4849111237958995e+17,4.988529307288479e+18,1.0,1.0,1.0,0.5,1.0
excitation_rate_x2,rate,ignition,7.826435992375635e+16,1.1659240109740694e+16,0.14897253515008496,1.664451713571195,2.767693336367436,1.6628258505794444,333.6391345557527,502.5658994599225,4.089398865112433e+19,8.437098451337101e+17,1.0,1.0,1.0,2.0,1.0
excitation_rate_x2,rate,production,2.4107268447347296e+17,7.341685347531747e+16,0.30454239822179474,1.662612635192909,2.4398883834693885,1.4675026111456768,1094.0823474742563,1493.9986301140436,1.2669029679693693e+20,5.050096293047742e+18,1.0,1.0,1.0,2.0,1.0
excitation_rate_x2,rate,afterglow,418033350741352.1,5.894578095802737e+16,141.00736425333352,0.8839174015298619,0.34179399533928145,0.38668092148396793,0.0,8.351237524722778,2.4849111237958995e+17,1.248925471391306e+18,1.0,1.0,1.0,2.0,1.0
energy_loss_x0p5,energy_loss,ignition,7.826435992375635e+16,4.512684694388391e+16,0.5765951064807229,1.664451713571195,2.764196630909149,1.660725035380195,333.6391345557527,505.3224851015412,4.089398865112433e+19,3.2639840227985126e+18,1.0,1.0,1.0,1.0,0.5
energy_loss_x0p5,energy_loss,production,2.4107268447347296e+17,2.867737302109966e+17,1.1895737206284458,1.662612635192909,2.4411882730921377,1.468284446670822,1094.0823474742563,1500.0,1.2669029679693693e+20,1.973162666055127e+19,1.0,1.0,1.0,1.0,0.5
energy_loss_x0p5,energy_loss,afterglow,418033350741352.1,2.27151687800645e+17,543.3817359256332,0.8839174015298619,0.3659996641883611,0.4140654585540438,0.0,0.0,2.4849111237958995e+17,5.051722735779852e+18,1.0,1.0,1.0,1.0,0.5
energy_loss_x1p5,energy_loss,ignition,7.826435992375635e+16,1.530846308421712e+16,0.19559941586605106,1.664451713571195,2.7657955005543675,1.6616856337755597,333.6391345557527,502.2925284969095,4.089398865112433e+19,1.1074883044026985e+18,1.0,1.0,1.0,1.0,1.5
energy_loss_x1p5,energy_loss,production,2.4107268447347296e+17,9.711778858718034e+16,0.4028568761296842,1.662612635192909,2.4412395232414377,1.4683152717398822,1094.0823474742563,1493.7830017968727,1.2669029679693693e+20,6.68198306057025e+18,1.0,1.0,1.0,1.0,1.5
