t,Ar,Ar+,e,T_e,T_n,p,P
1.8326953788083971e-07,1.6917885692463518e+21,164427206211408.66,164427206211408.66,5.784756223815006,342.5,8.0,500.0
1.858595947539813e-07,1.6917885625058234e+21,171167734993474.6,171167734993474.6,5.539773188477505,342.5,8.000000000000004,500.0
1.884496516271229e-07,1.691788555864533e+21,177809024841271.88,177809024841271.88,5.334390082671184,342.5,8.0,500.0
1.9103970850026448e-07,1.691788549324583e+21,184348975133481.16,184348975133481.16,5.163875562095478,342.5,8.0,500.0
1.9474454602417647e-07,1.691788540105195e+21,193568363109472.72,193568363109472.72,4.965531134612553,342.5,8.0,500.0
1.9844938354808846e-07,1.691788530983573e+21,202689985427762.38,202689985427762.38,4.804259725952024,342.5,8.000000000000004,500.0
2.0215422107200045e-07,1.6917885219040718e+21,211769486008838.94,211769486008838.94,4.667072044168532,342.5,7.999999999999999,500.0
2.0585905859591244e-07,1.6917885128372736e+21,220836284762457.4,220836284762457.4,4.546848264074915,342.5,8.000000000000004,500.0
2.129933633306601e-07,1.6917884953625753e+21,238310983157474.44,238310983157474.44,4.3488772289392275,342.5,8.000000000000004,500.0
2.2012766806540774e-07,1.69178847783447e+21,255839088511903.94,255839088511903.94,4.1831035605436275,342.5,8.000000000000004,500.0
2.2726197280015538e-07,1.6917884602188534e+21,273454704914039.38,273454704914039.38,4.039183154559021,342.5,8.000000000000002,500.0
2.4526890725336156e-07,1.6917884151555537e+21,318518004386611.3,318518004386611.3,3.7384814356093243,342.5,8.0,500.0
2.6327584170656774e-07,1.6917883696071744e+21,364066384099552.9,364066384099552.9,3.5048267312220607,342.5,8.000000000000004,500.0
2.9807012644364277e-07,1.6917882805888683e+21,453084689962802.7,453084689962802.7,3.169566810364086,342.5,8.000000000000002,500.0
3.328644111807178e-07,1.691788190519843e+21,543153715261620.06,543153715261620.06,2.9309328373629615,342.5,8.000000000000002,500.0
3.6765869591779284e-07,1.6917880996477322e+21,634025825667841.9,634025825667841.9,2.7507396074906008,342.5,8.0,500.0
4.467661353458001e-07,1.6917878914453652e+21,842228192986841.8,842228192986841.8,2.470545774886609,342.5,8.000000000000002,500.0
5.258735747738074e-07,1.6917876817935147e+21,1051880043641409.5,1051880043641409.5,2.289724711278741,342.5,8.000000000000002,500.0
6.049810142018146e-07,1.6917874713545152e+21,1262319043291823.5,1262319043291823.5,2.1615362213689227,342.5,8.000000000000004,500.0
7.627059719897804e-07,1.6917870513480493e+21,1682325508982148.0,1682325508982148.0,1.992156120092629,342.5,8.000000000000002,500.0
9.204309297777463e-07,1.6917866312838978e+21,2102389660659740.2,2102389660659740.2,1.8818949502391398,342.5,8.000000000000004,500.0
1.078155887565712e-06,1.6917862117799538e+21,2521893604051026.0,2521893604051026.0,1.803112297749915,342.5,8.0,500.0
1.3857279055511017e-06,1.6917853965167e+21,3337156858091732.5,3337156858091732.5,1.699388888636505,342.5,8.000000000000002,500.0
