step_id,t_start_s,t_end_s,local_final_ne_m3,pygmol_final_ne_m3,ratio_final_ne_pygmol_over_local,local_mean_ne_m3,pygmol_mean_ne_m3,ratio_mean_ne_pygmol_over_local,local_final_mean_energy_eV,pygmol_final_Te_eV,pygmol_final_mean_energy_equiv_eV,ratio_final_mean_energy_equiv_pygmol_over_local,local_mean_absorbed_power_W,pygmol_mean_absorbed_power_W,ratio_mean_absorbed_power_pygmol_over_local,local_final_wafer_ion_flux_m2_s,pygmol_final_cylinder_wall_Arplus_flux_m2_s,local_final_global_ion_loss_rate_s,pygmol_final_Arplus_wall_loss_rate_s,ratio_final_wall_loss_rate_pygmol_over_local
ignition,0.0,0.0002,7.826435992375635e+16,3.8478528600693395e+17,4.916481606465375,5.5321698224471784e+16,4.793213780736677e+16,0.8664256403134745,1.664451713571195,0.9946359916027738,1.4919539874041607,0.8963636344866212,333.6391345557527,505.19629781465335,1.5141997610302296,4.089398865112433e+19,2.0994372877483356e+19,21249.525354085505,902.170556290273,0.042456033311672005
production,0.0002,0.0022,2.4107268447347296e+17,4.635762959925436e+18,19.229731356957384,2.3705756101978787e+17,1.643547032267251e+18,6.933113734896055,1.662612635192909,0.8835371579580076,1.3253057369370114,0.7971223776867541,1094.0823474742563,1500.0,1.3710119749786887,1.2669029679693693e+20,2.3767941013236895e+20,21232.893617740116,847.7631579768982,0.039926878231452675
afterglow,0.0022,0.0026,418033350741352.1,3.734071192151243e+18,8932.47197987705,3.885939924586786e+16,4.389606241902363e+18,112.96124816878468,0.8839174015298619,0.2798431673012724,0.41976475095190857,0.4748913758518504,0.0,0.0,,2.4849111237958995e+17,9.161165433017726e+19,15172.370062370948,405.66947612929357,0.026737383445147832
